ID,Comentarios,Categoría,Tipo Vehículo,Patente,Marca,Modelo,Año,Color,Motor,Chasis,Versión,Combustible,N° Serie,Factura,Guía Despacho,Papeles
BMa0262,,Liviano,Automóvil,SinPat021,Hyundai,Grand I10,2024,,,,,,,,,
BMa0263,Vendido,Liviano,Camioneta,LCZT80,Mitsubishi,L200 Work,2019,Gris,4N15UDG4719,MMBJJKK10JH065341,L200 Work CR WF 2.4,,,,,
BMa0264,,Liviano,Station Wagon,PKFL83,Nissan,Xtrail,2021,Plateado,QR25592306M,JN1JBNT32LW012325,X Trail 4x4 CVT 2.5 AUT,Bencina,,,,
BMa0265,,Liviano,Camioneta,GKWV41,Honda,Ridgeline,2014,Azul,J35Z5-6016747,5FPYK1620DB901363,New Ridgeline RT 4x4 3.5 AUT,,,,,
BMa0266,,Liviano,Automóvil,JSGL48,Mini,F56 Cooper 1.5,2017,Rojo,F491H429,WMWXM5107H2F83293,,,,,,
BMa0267,,Liviano,Station Wagon,RLGB22,MG,3,2022,,,,,,,,,
BMa0268,,Liviano,Automóvil,KU7115,Mercedes Benz,CE 320,1993,Plata,10499212019193,WDB1240521B962232,,,,,,
BMa0269,,Liviano,Station Wagon,VA9482,Mercedes Benz,ML 320,2002,Plata,112942-31-057545,WDC163154-1A-292109,,,,,,
BMa0270,,Liviano,Automóvil,KXKH97,DS,DS4,2019,Gris,10JBHX3041348,VF7NXBHZTKY500064,,,,,,
BMa0271,,Liviano,Camioneta,TJZG77,Foton,TM5,2024,Blanco,23A000818ZLQAQ,LVAV2JVB0RE238048,TM5 Cargobox 1.6,Bencina,,,,
BMa0272,,Pesado,Camión,HLXH39,Chevrolet,Isuzu,2016,,,,,,,,,
BMa0273,,Pesado,Camión,PBYZ40,Chevrolet,Isuzu,2021,,,,,,,,,
BMa0274,,Pesado,Camión,DKYY49,Misubishi Fuso,Canter,2012,,,,,,,,,
BMa0275,,Liviano,Automóvil,CXBK87,Mercedes Benz,C180,2011,Gris,27182030140649,WDDGF4KB0BA454125,C180 CGI Blue Efficiency Coupe AT,,,,,
BMa0276,,Liviano,Automóvil,JYHL78,Mazda,CX 3,2018,Blanco,,JM7DK2W7AJ1306706,R 2.0 AWD AT,,,,,
BMa0277,,Liviano,Camioneta,SXLK37,Ford,Ranger,2023,,,,,,,,,
BMa0278,,Liviano,Furgón,SWCG12,Chevrolet,N400 Max,2023,Blanco,,,,,,,,
BMa0279,,Liviano,Station Wagon,SinPat022,Mazda,CX 30 Core Plus,2024,Plata,PE22010098,JM7DM2W7AS0307318,CX-30 Core Plus 2.0 7G,,,,,
BMa0280,,Liviano,Station Wagon,SinPat023,GAC,GS3,2025,,,,,,,,,
BMa0281,,Liviano,Automóvil,DXWY24,Alfa Romeo,Mito,2012,Negro,1575696,ZAR955000B1130108,,Bencina,,,,
BMa0282,,Liviano,Camioneta,TFDH79,Ford,Ranger,2024,Plateado,YN2ZRJ365661,8AFBR00C2RJ365661,,,,,,
BMa0283,,Liviano,Motocicleta,SinPat024,Triumph,Bonneville T120,2023,Negro,HAV9685,SMTD40HL3PTBE7359,,,,,,
BMa0284,No Pesca,Liviano,Station Wagon,DHTP59,Toyota,4 Runner,2012,Gris,1GRA345742,JTEZU4JR3C5031648,,Bencina,,,,
BMa0285,,Liviano,Station Wagon,SinPat025,MG,Zs,2021,Blanco,15S4C8FGLC090236,LSJW74U91NZ014710,,Bencina,,,,
BMa0286,,Liviano,Station Wagon,JTJF94,Ford,Edge,2017,Blanco,FORD56,2FMPK3J97HBB48708,,Bencina,,,,/Operaciones5.6/Materias/Vehículos/BMa0286.Papeles.145645.pdf
BMa0287,,Liviano,Motocicleta,JPJ041,B.M.W.,R 1200 GS Adventure,2019,Rojo,28170985,WB10A0204JZ924879,,Bencina,,,,
BMa0288,,Liviano,Station Wagon,GLTV26,Subaru,XV,2014,Plata,1053219,JF1GP7LC5DG075911,2.0I AWD CVT Dynamic ES 18MY,Bencina,,,,
d5c4d539,,Liviano,Station Wagon,VLRG85,Ford,Explorer XLT,2026,,,,,,,,,
ff7028f8,,Liviano,Automóvil,ZL1069,Chevrolet,Corsa,2006,Plata,,,,Bencina,,,,
1eba0546,,Liviano,Automóvil,GZWP78,Suzuki,Swift,2015,Rojo,,,GL HB 1.2,Bencina,,,,
7455c66f,,Liviano,Station Wagon,LLCX31,Volkwagen,Tiguan,2019,Blanco,DBG020706,3VVLD65N8JM201962,,Bencina,,,,
1eaf59fa,,Liviano,Automóvil,PRCX93,Peugeot,5008 Puretech,2021,Blanco,10FKBL2716779,VF3M45GFUML002720,,,,,,
4c6b3e81,,Liviano,Automóvil,KCRC84,Lexus,RX 350 F Sport,2018,Plateado,2GRK464637,JTBZMCA8J2029825,RX 350H F-SPORT,,,,,
cef152d3,,Liviano,Station Wagon,JTSB25,Mazda,CX5,2017,Rojo,PY10269804,JM7KF4WLAJ0106676,All New CX5,Bencina,,,,
b5f32842,,Liviano,Camioneta,RHDY19,Ford,Ranger,2022,Azul,SA2SNJ252400,BAFAR23W2NJ252400,D CAB LTD 4X4 3.2 AUT,Diesel,,,,
240cbb04,,Liviano,Automóvil,JYCP66,Suzuki,Swift GLX,2018,Plata,K12M-5008736,JS2ZC63S5J6104051,GLX SE 1.2 Aut,Bencina,,,,
05b29dac,,Liviano,Automóvil,GVHZ37,Lexus,CT 200H,2015,,,,CT200F Sports 5P 1800CC,,,,,
dbdfa152,,Liviano,Automóvil,FHJJ32,BMW,X1 SDrive,2013,,,,,,,,,
8275b80c,,Liviano,Station Wagon,TBFZ95,Subaru,Forester,2024,Blanco,UF53013,JF1SK9LL5PG192977,,,,,,
0e2a1bcf,,Liviano,Automóvil,PFVW14,Chery,Arizzo 5,2021,Gris,SQRE4G15BAAMA00281,LVVDC11B9MD048289,,Bencina,,,,
2db6d512,,Liviano,Automóvil,RPKP55,Toyota,Yaris,2022,Blanco,2NR5546171,MR2B29F31N1235882,,Bencina,,,,
f862952c,no asegurable,Liviano,Automóvil,FGGL72,Toyota,Corolla,2013,Plateado,1ZR1039224,JTDBV43E8DJ009036,COROLLA XLI 1.6,Bencina,,,,
50b95645,Buscar algo mejor que UF12.1 con Ded UF3,Liviano,Station Wagon,JCVF56,Mazda,CX5,2017,Gris,PE10363214,JM8KE2W70H0386359,New R 2.0 AWD 6MT I-Stop 5P Full,Bencina,,,,
5d9fa33f,,Liviano,Automóvil,KFZJ64,Toyota,Yaris,2018,Gris,2NRX250883,MR2B29F31J1103800,,Bencina,,,,
9173bd62,,Liviano,Automóvil,DVPL42,Chevrolet,Captiva,2012,Gris,LE5111740099,KL1FC2C41BB091211,,,,,,/Operaciones5.6/Materias/Vehículos/9173bd62.Papeles.182937.pdf
bfa7d1ff,,Liviano,Motocicleta,GDL072,Harley Davidson,FORTY EIGHT XL 1200,2018,Negro,LC3J408409,5HD1LC3C9JC408409,,Bencina,,,,/Operaciones5.6/Materias/Vehículos/bfa7d1ff.Papeles.155215.pdf
82bccab8,,Liviano,Station Wagon,THDX43,Subaru,All New Outback,2024,Azul,YV37175,JF1BT9LL3PG041253,ALL NEW OUTBACK,Bencina,,,,
924a20ec,,Liviano,Automóvil,ZL1069,Chevrolet,Corsa,2006,Plateado,3J5005082,8AGSE19N06R112245,EXTRA PWR 1.6,Bencina,,,,/Operaciones5.6/Materias/Vehículos/924a20ec.Papeles.142411.pdf
ded448d5,,Liviano,Automóvil,JFPB51,Nissan,Versa,2017,,hr16762785m,3nicn7ad4gk441046,,Bencina,,,,
b45c7ca3,,Liviano,Station Wagon,LGCL26,Suzuki,Grand Nomade,2019,Blanco,J24B1344744,JS3TD04V4K4103202,,,,,,
0a4f0ce3,,Liviano,Station Wagon,LPYD35,Mazda,CX5,2020,,,,,Bencina,,,,
5e9b0bd1,,Liviano,Station Wagon,nuevo01,Ford,Territory Titanium,2026,Gris,SBG130219,LJXCU2BB1THF69607,TERRITORY TITANIUM FHEV 1.5L AT,Hibrido Bencina,,/Operaciones5.6/Materias/Vehículos/5e9b0bd1.Factura.171335.pdf,,
0875d6af,,Liviano,Station Wagon,TTWP36,GAC,GS3 Power,2025,Gris,K382214,LMWHT1328R1097452,,Bencina,,,,
3e09c7e1,,Liviano,Camioneta,LJHZ51,Volkswagen,Amarok,2019,Blanco,CSH223434,WV1ZZZ2HZKA016009,,,,,,
1cf89759,,Liviano,Automóvil,LZKS92,Chevrolet,Sail,2020,Azul,L2B192603627,LSGHD52H0LD109499,New Sail,Bencina,,,,
26ed91d9,,Liviano,Camioneta,DJRH10,Ford,Ranger,2012,Grafito,BJ417914,8AFDR12A3BJ417914,RANGER HERITAGE II XLT 2.3,Bencina,,,,/Operaciones5.6/Materias/Vehículos/26ed91d9.Papeles.143403.pdf
8b219ecc,,Liviano,Station Wagon,JJJG66,Nissan,X Trail,2017,Gris,QR25879493L,JN1JBNT32HW003962,X Trail 2.5 Aut,Bencina,,,,/Operaciones5.6/Materias/Vehículos/8b219ecc.Papeles.144125.pdf
53486a9a,No asegurable,Liviano,Carro de Arrastre,FRA778,Hechizo,Hechizo,2025,Gris,,,650Kg,,,,,/Operaciones5.6/Materias/Vehículos/53486a9a.Papeles.145049.pdf
a5a7c164,,Liviano,Automóvil,KKGT97,Hyundai,Creta,2018,Blanco,G4FGHW624268,MALC381CAJM343776,,Bencina,,,,
3c6b63de,,Liviano,Camioneta,pendiente,Kia,Sportage,2019,,,,,Bencina,,,,
9fb87a16,,Liviano,Automóvil,LYGC80,Mazda,3,2020,Gris,PE21433500,JM7BP2H76L1108683,,Bencina,,,,
35f486ec,,Liviano,Station Wagon,LKRZ49,Mazda,CX 3,2019,Blanco,S830213651,JM7DK4W8AL1420105,,Diesel,,,,
4cc51591,,Liviano,Station Wagon,JKGL99,Toyota,Rav4,2017,Blanco,2ARF323776,JTMWF3EV6HJ120258,,Bencina,,,,
85b2d255,,Liviano,Automóvil,HRSS80,Toyota,Yaris,2016,,1NZZ311061,MR2KT9F33G1205153,,Bencina,,,,
e5a1ec35,,Liviano,Station Wagon,FVKH15,Chevrolet,Captiva III,2013,Plateado,LE9130350051,KLIFC2DU3CB119235,LT SA FWD 2.4 AT,Bencina,,,,/Operaciones5.6/Materias/Vehículos/e5a1ec35.Papeles.142437.pdf
b59ed50f,,Equipo Móvil,Tijera Eléctrica,,JLG,4069 LE,2008,,,,,,200179042,,,
565e13df,,Liviano,Station Wagon,Pendiente,Toyota,Rav 4 2.0 AT,2018,Plata,,,,Bencina,,,,
c3dfdbc8,,Liviano,Automóvil,SXJR36,Opel,Mokka 1.2T,2023,,,,,,,,,
3cd7078f,,Liviano,Motocicleta,WZH044,Honda,CRF 1100 Africa Twin Sports,2023,,,,,Bencina,,,,
c7c249ba,,Liviano,Automóvil,ET0000,Hyundai,Grand I10,2026,Azul,G4LASM593075,MALB251CATM713157,GRAND I-10 AI3 HB 1.2 MT PLUS FL,Bencina,,/Datos/Vehículos/c7c249ba.Factura.164810.pdf,/Datos/Vehículos/c7c249ba.Guía Despacho.164810.pdf,
e170d4f7,,Liviano,Automóvil,PRPY69,Kia,Optima,2020,,,,TGDI 2.0 AUT,Bencina,,,,
377169c1,,Liviano,Camioneta,KSRL70,Maxus,T60,2019,,R9183010613,,DX 2.8,,,,,
3b310c2d,,Liviano,Station Wagon,KGYZ70,Kia,Sportage,2018,,G4NAHH781693,,,,,,,
de075342,,Liviano,Automóvil,LLDD60,Mazda,New 3,2019,,PE21306399,,HB 2.0,,,,,
ce894893,,Liviano,Camioneta,HVTR38,Chevrolet,D Max 2.5,2016,,NE4992,,,,,,,
