Tabla_AppSheet_Origen,Campo_AppSheet_Origen,Tabla_PostgreSQL_Destino,Campo_PostgreSQL_Destino,Tipo_de_Dato_o_Relacion,Explicacion_Arquitectonica
Gestión Cotizaciones,Fecha Cot,gestion.cotizacion,fecha_cot,DATE,
Gestión Cotizaciones,Vigencia,gestion.cotizacion,vigencia_dias,INTEGER,
Gestión Cotizaciones,N° Cot,gestion.cotizacion,numero_cot,VARCHAR(50),
Gestión Cotizaciones,Producto,gestion.cotizacion,producto_id,FK → operaciones.producto,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Cotizaciones,Monto Asegurado,gestion.cotizacion,monto_asegurado,"NUMERIC(14, 2)",
Gestión Cotizaciones,Forma de Pago,gestion.cotizacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cotizaciones,Cuotas,gestion.cotizacion,n_cuotas,INTEGER,
Gestión Cotizaciones,Descuento Adicional,gestion.cotizacion,descuento_adicional,"NUMERIC(5, 2)",
Gestión Cotizaciones,Promoción,gestion.cotizacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cotizaciones,PDF,gestion.cotizacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cotizaciones,Aceptada?,gestion.cotizacion,aceptada,BOOLEAN,
Gestión Cotizaciones,Plan Aceptado,gestion.cotizacion,plan_aceptado,VARCHAR(200),
Gestión Cotizaciones,Recomendada?,gestion.cotizacion,recomendada,BOOLEAN,
Gestión Cotizaciones,Deducible Recomendado,gestion.cotizacion,deducible_recomendado,VARCHAR(200),
Gestión Cotizaciones,Comentarios,gestion.cotizacion,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Cuotas,ID,gestion.cuota,appsheet_id,VARCHAR(50),
Gestión Cuotas,Control Pago,gestion.cuota,control_pago,VARCHAR(30),
Gestión Cuotas,Plan de Pago,gestion.cuota,poliza_id,FK → gestion.poliza,
Gestión Cuotas,Plan de Pago,gestion.cuota,plan_pago_id,FK → gestion.plan_pago,
Gestión Cuotas,N° Cuota,gestion.cuota,numero_cuota,INTEGER,
Gestión Cuotas,Vencimiento,gestion.cuota,vencimiento,DATE,
Gestión Cuotas,Vencimiento,gestion.cuota,fecha_vencimiento,DATE,
Gestión Cuotas,Valor UF,gestion.cuota,valor_uf,"NUMERIC(10, 4)",
Gestión Cuotas,Valor CLP,gestion.cuota,valor_clp,"NUMERIC(14, 2)",
Gestión Cuotas,Valor USD,gestion.cuota,valor_usd,"NUMERIC(10, 2)",
Gestión Cuotas,Fecha Pago,gestion.cuota,fecha_pago,DATE,
Gestión Cuotas,Monto $,gestion.cuota,monto_clp,"NUMERIC(14, 2)",
Gestión Cuotas,N° Ingreso,gestion.cuota,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cuotas,Pago,gestion.cuota,estado,VARCHAR(9),
Gestión Cuotas,Recibo,gestion.cuota,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cuotas,Factura,gestion.cuota,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cuotas,Cursado,gestion.cuota,cursado,BOOLEAN,
Gestión Cuotas,FA Enviada,gestion.cuota,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cuotas,Cobrada,gestion.cuota,cobrada,BOOLEAN,
Gestión Cuotas,Cobro Automático,gestion.cuota,cobro_automatico,BOOLEAN,
Gestión Cuotas,Cobrar?,gestion.cuota,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cuotas,Comentarios,gestion.cuota,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Documentos,ID,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Póliza,gestion.documento,poliza_id,FK → gestion.poliza,
Gestión Documentos,Fecha Emisión,gestion.documento,fecha_emision,DATE,
Gestión Documentos,Tipo Documento,gestion.documento,tipo_documento,VARCHAR(14),
Gestión Documentos,I Vigencia,gestion.documento,fecha_inicio,DATE,
Gestión Documentos,F Vigencia,gestion.documento,fecha_termino,DATE,
Gestión Documentos,N° Documento,gestion.documento,numero_documento,VARCHAR(50),
Gestión Documentos,N° Cuotas,gestion.documento,n_cuotas,INTEGER,
Gestión Documentos,% Comisión Afecta,gestion.documento,pct_comision_afecta,"NUMERIC(5, 2)",
Gestión Documentos,% Comisión Exenta,gestion.documento,pct_comision_exenta,"NUMERIC(5, 2)",
Gestión Documentos,Cotización,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,PDF,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Otros Archivos,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Tipo Inspección,gestion.documento,tipo_inspeccion,VARCHAR(50),
Gestión Documentos,N° Inspección,gestion.documento,n_inspeccion,VARCHAR(50),
Gestión Documentos,Comisión?,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Requiere Doc?,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Invalidar Diferencia?,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Enviado?,gestion.documento,enviado,BOOLEAN,
Gestión Documentos,Comentarios,gestion.documento,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Documentos,Traspaso Info 1,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Documentos,Traspaso Info 2,gestion.documento,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Materias,ID,gestion.materia,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Materias,Documento,gestion.materia,documento_id,FK → gestion.documento,
Gestión Materias,Base Materia,gestion.materia,base_materia_id,FK → grupos.grupo_materia,
Gestión Materias,Uso,gestion.materia,uso,VARCHAR(60),
Gestión Materias,Deducible,gestion.materia,deducible,VARCHAR(200),Legacy: appsheet_id crudo del plan (ver plan_id)
Gestión Materias,Deducible,gestion.materia,plan_id,FK → operaciones.plan,FK resuelta desde 'Deducible' (appsheet_id de plan)
Gestión Materias,Item,gestion.materia,item,INTEGER,
Gestión Materias,Afecta UF,gestion.materia,afecta_uf,"NUMERIC(10, 4)",
Gestión Materias,Exenta UF,gestion.materia,exenta_uf,"NUMERIC(10, 4)",
Gestión Materias,Afecta CLP,gestion.materia,afecta_clp,"NUMERIC(14, 2)",
Gestión Materias,Exenta CLP,gestion.materia,exenta_clp,"NUMERIC(14, 2)",
Gestión Materias,Afecta USD,gestion.materia,afecta_usd,"NUMERIC(10, 2)",
Gestión Materias,Exenta USD,gestion.materia,exenta_usd,"NUMERIC(10, 2)",
Gestión Materias,Monto Asegurado,gestion.materia,monto_asegurado,"NUMERIC(14, 2)",
Gestión Materias,Tasa Afecta,gestion.materia,tasa_afecta,"NUMERIC(6, 4)",
Gestión Materias,Tasa Exenta,gestion.materia,tasa_exenta,"NUMERIC(6, 4)",
Gestión Materias,Fecha Exclusión,gestion.materia,fecha_exclusion,DATE,
Gestión Materias,Comentarios,gestion.materia,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Materias,(derivado),gestion.materia,poliza_id,FK → gestion.poliza,Derivado: pol_id
Gestión Materias,(derivado),gestion.materia,grupo_cliente_id,FK → grupos.grupo_cliente,Derivado: grupo_cli_id
Gestión Materias,(derivado),gestion.materia,contratante_id,FK → datos.rut,Derivado: contratante_id
Gestión Materias,(derivado),gestion.materia,seguro_id,FK → operaciones.seguro,Derivado: seguro_id
Gestión Materias,(derivado),gestion.materia,asegurado_id,FK → datos.rut,Derivado: asegurado_id
Gestión Planes de Pago,ID,gestion.plan_pago,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Planes de Pago,Activo?,gestion.plan_pago,activo,BOOLEAN,
Gestión Planes de Pago,Documento,gestion.plan_pago,documento_id,FK → gestion.documento,
Gestión Planes de Pago,Documento,gestion.plan_pago,poliza_id,FK → gestion.poliza,
Gestión Planes de Pago,N° Plan Pago,gestion.plan_pago,n_plan_pago,VARCHAR(50),
Gestión Planes de Pago,Fecha Documento,gestion.plan_pago,fecha_documento,DATE,
Gestión Planes de Pago,N° Cuotas,gestion.plan_pago,n_cuotas,INTEGER,
Gestión Planes de Pago,Afecta UF,gestion.plan_pago,afecta_uf,"NUMERIC(10, 4)",
Gestión Planes de Pago,Exenta UF,gestion.plan_pago,exenta_uf,"NUMERIC(10, 4)",
Gestión Planes de Pago,Afecta CLP,gestion.plan_pago,afecta_clp,"NUMERIC(14, 2)",
Gestión Planes de Pago,Exenta CLP,gestion.plan_pago,exenta_clp,"NUMERIC(14, 2)",
Gestión Planes de Pago,Afecta USD,gestion.plan_pago,afecta_usd,"NUMERIC(10, 2)",
Gestión Planes de Pago,Exenta USD,gestion.plan_pago,exenta_usd,"NUMERIC(10, 2)",
Gestión Planes de Pago,Valor Cuota,gestion.plan_pago,valor_cuota,"NUMERIC(14, 2)",
Gestión Planes de Pago,N° Cuota Distinta,gestion.plan_pago,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Planes de Pago,Valor Cutoa Distinta,gestion.plan_pago,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Planes de Pago,Vcto Cuota 0,gestion.plan_pago,vcto_cuota_0,DATE,
Gestión Planes de Pago,Vcto Cuota 1,gestion.plan_pago,vcto_cuota_1,DATE,
Gestión Planes de Pago,PDF,gestion.plan_pago,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Planes de Pago,Firmado?,gestion.plan_pago,firmado,BOOLEAN,
Gestión Planes de Pago,Enviado?,gestion.plan_pago,enviado,BOOLEAN,
Gestión Planes de Pago,Recibo Envío,gestion.plan_pago,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Planes de Pago,Comentarios,gestion.plan_pago,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Planes de Pago,Cargado Cuota?,gestion.plan_pago,cargado_cuota,BOOLEAN,
Gestión Pólizas,ID,gestion.poliza,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Pólizas,Producto,gestion.poliza,producto_id,FK → operaciones.producto,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Pólizas,% Comisión Afecta,gestion.poliza,pct_comision_afecta,"NUMERIC(5, 2)",
Gestión Pólizas,% Comisión Exenta,gestion.poliza,pct_comision_exenta,"NUMERIC(5, 2)",
Gestión Pólizas,Ejecutivo,gestion.poliza,ejecutivo_id,FK → operaciones.ejecutivo,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Pólizas,Estado Seguro,gestion.poliza,estado_seguro,VARCHAR(11),
Gestión Pólizas,Fecha Emisión,gestion.poliza,fecha_emision,DATE,
Gestión Pólizas,I Vigencia,gestion.poliza,fecha_inicio,DATE,
Gestión Pólizas,F Vigencia,gestion.poliza,fecha_termino,DATE,
Gestión Pólizas,N° Póliza,gestion.poliza,numero_poliza,VARCHAR(50),
Gestión Pólizas,Cliente,gestion.poliza,grupo_cliente_id,FK → grupos.grupo_cliente,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Pólizas,Contratante,gestion.poliza,contratante_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Pólizas,Pagador,gestion.poliza,pagador_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Pólizas,Moneda,gestion.poliza,moneda,VARCHAR(3),
Gestión Pólizas,Forma de Pago,gestion.poliza,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Pólizas,N° Cuotas,gestion.poliza,n_cuotas,INTEGER,
Gestión Pólizas,Mandato,gestion.poliza,mandato,BOOLEAN,
Gestión Pólizas,Otros Archivos,gestion.poliza,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Pólizas,Comisión?,gestion.poliza,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Pólizas,Renovar?,gestion.poliza,renovar,BOOLEAN,
Gestión Pólizas,Pago Activo?,gestion.poliza,pago_activo,BOOLEAN,
Gestión Pólizas,Recotizar?,gestion.poliza,recotizar,BOOLEAN,
Gestión Pólizas,Fecha Cancelación,gestion.poliza,fecha_cancelacion,DATE,
Gestión Pólizas,Comentarios,gestion.poliza,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Pólizas,Verificador Traspaso,gestion.poliza,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,ID,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Fecha Registro,gestion.registro,fecha_registro,DATE,
Gestión Registros,Tipo Registro,gestion.registro,tipo_registro,VARCHAR(10),
Gestión Registros,Tipo Registro,gestion.registro,estado_renovacion,VARCHAR(50),
Gestión Registros,Tipo Registro,gestion.registro,estado_traspaso,VARCHAR(50),
Gestión Registros,Estado Negocio,gestion.registro,estado_negocio,VARCHAR(9),
Gestión Registros,Estado Renovación,gestion.registro,estado_negocio,VARCHAR(9),
Gestión Registros,Estado Renovación,gestion.registro,estado_renovacion,VARCHAR(50),
Gestión Registros,Estado Prospecto,gestion.registro,estado_prospecto,VARCHAR(14),
Gestión Registros,Estado Traspaso,gestion.registro,estado_negocio,VARCHAR(9),
Gestión Registros,Estado Traspaso,gestion.registro,estado_traspaso,VARCHAR(50),
Gestión Registros,Estado Inclusión,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Tipo Materia,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Seguro,gestion.registro,seguro_id,FK → operaciones.seguro,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Registros,Cot Aceptada,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Póliza,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Modifica Materia?,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Comisión?,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Contratante,gestion.registro,contratante_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Registros,Pagador,gestion.registro,pagador_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Registros,Cliente,gestion.registro,grupo_cliente_id,FK → grupos.grupo_cliente,
Gestión Registros,Producto,gestion.registro,producto_id,FK → operaciones.producto,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Registros,Ejecutivo,gestion.registro,ejecutivo_id,FK → operaciones.ejecutivo,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Registros,Moneda,gestion.registro,moneda,VARCHAR(3),
Gestión Registros,UF Prima Afecta,gestion.registro,uf_prima_afecta,"NUMERIC(10, 4)",
Gestión Registros,UF Prima Exenta,gestion.registro,uf_prima_exenta,"NUMERIC(10, 4)",
Gestión Registros,CLP Prima Afecta,gestion.registro,clp_prima_afecta,"NUMERIC(14, 2)",
Gestión Registros,CLP Prima Exenta,gestion.registro,clp_prima_exenta,"NUMERIC(14, 2)",
Gestión Registros,USD Prima Afecta,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,USD Prima Exenta,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,% Comisión Afecta,gestion.registro,pct_comision_afecta,"NUMERIC(5, 2)",
Gestión Registros,% Comisión Exenta,gestion.registro,pct_comision_exenta,"NUMERIC(5, 2)",
Gestión Registros,Forma de Pago,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,N° Cuotas,gestion.registro,n_cuotas,INTEGER,
Gestión Registros,Valor Cuota,gestion.registro,valor_cuota,"NUMERIC(14, 2)",
Gestión Registros,Tipo Inspección,gestion.registro,tipo_inspeccion,VARCHAR(50),
Gestión Registros,N° Inspección,gestion.registro,n_inspeccion,VARCHAR(50),
Gestión Registros,I Vigencia,gestion.registro,fecha_inicio_vigencia,DATE,
Gestión Registros,Condiciones,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Archivos,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Comentarios,gestion.registro,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Registros,Fin Gestión,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Traspaso Info 1,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Registros,Traspaso Info 2,gestion.registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Grupos Clientes,ID,grupos.grupo_cliente,(ninguno),—,DROPPED — sin destino en el schema nuevo
Grupos Clientes,Cliente,grupos.grupo_cliente,rut_id,FK → datos.rut,
Grupos Clientes,Carpeta,grupos.grupo_cliente,carpeta,VARCHAR(500),
 Grupos Entidades,ID,grupos.grupo_entidad,(ninguno),—,DROPPED — sin destino en el schema nuevo
 Grupos Entidades,Tipo Entidad,grupos.grupo_entidad,tipo_entidad,VARCHAR(9),
 Grupos Entidades,Asegurado,grupos.grupo_entidad,asegurado_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Gestor,grupos.grupo_entidad,gestor_id,FK → operaciones.gestor,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Partner,grupos.grupo_entidad,partner_id,FK → operaciones.partner,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Banco,grupos.grupo_entidad,banco_id,FK → operaciones.banco,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Proveedor,grupos.grupo_entidad,proveedor_id,FK → operaciones.proveedor,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Compañía,grupos.grupo_entidad,compania_id,FK → operaciones.compania,FK resuelta vía maps[...] (appsheet_id → id)
 Grupos Entidades,Carpeta,grupos.grupo_entidad,carpeta,VARCHAR(500),
Grupos Materias,ID,grupos.grupo_materia,(ninguno),—,DROPPED — sin destino en el schema nuevo
Grupos Materias,Activa?,grupos.grupo_materia,activa,BOOLEAN,
Grupos Materias,Seguro,grupos.grupo_materia,seguro_id,FK → operaciones.seguro,FK resuelta vía maps[...] (appsheet_id → id)
Grupos Materias,Asegurado,grupos.grupo_materia,asegurado_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Grupos Materias,Tipo,grupos.grupo_materia,tipo,VARCHAR(10),
Grupos Materias,Uso,grupos.grupo_materia,uso,VARCHAR(60),
Grupos Materias,Vehículo,grupos.grupo_materia,vehiculo_id,FK → datos.vehiculo,FK resuelta vía maps[...] (appsheet_id → id)
Grupos Materias,Inmueble,grupos.grupo_materia,inmueble_id,FK → datos.inmueble,FK resuelta vía maps[...] (appsheet_id → id)
Grupos Materias,Otra,grupos.grupo_materia,(ninguno),—,DROPPED — sin destino en el schema nuevo
Grupos Materias,Vida y Salud,grupos.grupo_materia,(ninguno),—,DROPPED — sin destino en el schema nuevo
Grupos Materias,Comentarios,grupos.grupo_materia,comentarios,TEXT,
Operaciones Bancos,ID,operaciones.banco,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Bancos,Rut,operaciones.banco,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Bancos,Razón Social,operaciones.banco,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Bancos,Corto,operaciones.banco,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Bancos,Corto,operaciones.banco,corto,VARCHAR(50),
Operaciones Bancos,Casa Matriz,operaciones.banco,casa_matriz,VARCHAR(200),
Operaciones Bancos,Sucursal Asignada,operaciones.banco,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Bancos,Fono Matriz,operaciones.banco,fono_matriz,VARCHAR(25),
Operaciones Bancos,Fono Sucursal,operaciones.banco,fono_sucursal,VARCHAR(25),
Operaciones Bancos,Página Web,operaciones.banco,web,VARCHAR(200),
Operaciones Bancos,Portal,operaciones.banco,portal,VARCHAR(200),
Operaciones Coberturas,ID,operaciones.cobertura,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Coberturas,Cobertura,operaciones.cobertura,cobertura,VARCHAR(200),
Operaciones Coberturas,Detalles,operaciones.cobertura,detalles,TEXT,
Operaciones Compañías,ID,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,Código Corredor,operaciones.compania,codigo_corredor,VARCHAR(30),
Operaciones Compañías,Rut,operaciones.compania,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Compañías,Razón Social,operaciones.compania,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Compañías,Corto,operaciones.compania,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Compañías,Corto,operaciones.compania,nombre_comercial,VARCHAR(150),
Operaciones Compañías,Cuenta Corriente,operaciones.compania,cuenta_corriente,VARCHAR(100),
Operaciones Compañías,Fono Asistencia,operaciones.compania,fono_asistencia,VARCHAR(25),
Operaciones Compañías,Casa Matriz,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,Sucursal Asignada,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,Fono Matriz,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,Fono Sucursal,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,Página Web,operaciones.compania,web,VARCHAR(200),
Operaciones Compañías,Portal,operaciones.compania,portal,VARCHAR(200),
Operaciones Compañías,Ejecutivo Principal,operaciones.compania,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Compañías,(derivado),operaciones.compania,activa,BOOLEAN,Derivado: True
Operaciones Comunas,ID,operaciones.comuna,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Comunas,Comuna,operaciones.comuna,nombre,VARCHAR(100),
Operaciones Comunas,Ciudad,operaciones.comuna,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Comunas,Región,operaciones.comuna,region,VARCHAR(100),
Operaciones Comunas,Código Comuna 2010,operaciones.comuna,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Comunas,Código Provincia,operaciones.comuna,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Comunas,Código Región,operaciones.comuna,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Ejecutivos,ID,operaciones.ejecutivo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Ejecutivos,Tipo,operaciones.ejecutivo,tipo,VARCHAR(9),
Operaciones Ejecutivos,Banco,operaciones.ejecutivo,banco_id,FK → operaciones.banco,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Ejecutivos,Compañía,operaciones.ejecutivo,compania_id,FK → operaciones.compania,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Ejecutivos,Proveedor,operaciones.ejecutivo,proveedor_id,FK → operaciones.proveedor,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Ejecutivos,Nombre,operaciones.ejecutivo,nombre,VARCHAR(100),
Operaciones Ejecutivos,2do Nombre,operaciones.ejecutivo,nombre2,VARCHAR(100),
Operaciones Ejecutivos,Paterno,operaciones.ejecutivo,paterno,VARCHAR(100),
Operaciones Ejecutivos,Materno,operaciones.ejecutivo,materno,VARCHAR(100),
Operaciones Ejecutivos,Corto,operaciones.ejecutivo,corto,VARCHAR(50),
Operaciones Ejecutivos,Correo,operaciones.ejecutivo,correo,VARCHAR(150),
Operaciones Ejecutivos,Correo 2,operaciones.ejecutivo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Ejecutivos,Celular,operaciones.ejecutivo,celular,VARCHAR(25),
Operaciones Ejecutivos,Fijo,operaciones.ejecutivo,fijo,VARCHAR(25),
Operaciones Ejecutivos,Sexo,operaciones.ejecutivo,sexo,VARCHAR(9),
Operaciones Ejecutivos,Cargo,operaciones.ejecutivo,cargo,VARCHAR(100),
Operaciones Ejecutivos,(derivado),operaciones.ejecutivo,activo,BOOLEAN,Derivado: True
Operaciones Gestores,ID,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Rut,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Nombre,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,2do Nombre,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Paterno,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Materno,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Corto,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Correo,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Correo 2,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Celular,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Fijo,operaciones.gestor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Gestores,Domicilio,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Detalles Domicilio,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Fecha Nacimiento,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Sexo,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Cuenta Corriente,operaciones.gestor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Gestores,Usermail,operaciones.gestor,usermail,VARCHAR(150),
Operaciones Gestores,(derivado),operaciones.gestor,activo,BOOLEAN,Derivado: True
Operaciones Partners,ID,operaciones.partner,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Partners,Rut,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Nombre,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,2do Nombre,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Paterno,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Materno,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Corto,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Correo,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Correo 2,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Celular,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Fijo,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Domicilio,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Detalles Domicilio,operaciones.partner,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Partners,Fecha Nacimiento,operaciones.partner,(ninguno),—,DROPPED — sin destino en el schema nuevo
